"from","to","strength","direction"
"D34","D36",0.502,0.366533864541833
"D34","D37",0.39,0.325641025641026
"D34","D42",0.274,0.5
"D36","D1",0.482,0.609958506224066
"D36","D2",0.188,0.563829787234043
"D36","D4",0.262,0.473282442748092
"D36","D5",0.316,0.829113924050633
"D36","D6",0.822,0.492700729927007
"D36","D7",0.692,0.609826589595376
"D36","D8",0.898,0.861915367483296
"D36","D9",0.34,0.555882352941176
"D36","D10",0.476,0.827731092436975
"D36","D11",0.254,0.259842519685039
"D36","D15",0.682,0.0879765395894428
"D36","D17",0.096,0.6875
"D36","D18",0.474,0.436708860759494
"D36","D19",0.368,0.747282608695652
"D36","D20",0.358,0.544692737430168
"D36","D21",0.166,0.409638554216867
"D36","D22",0.338,0.215976331360947
"D36","D23",0.49,0.463265306122449
"D36","D24",0.298,0.221476510067114
"D36","D26",0.186,0.564516129032258
"D36","D29",0.522,0.660919540229885
"D36","D30",0.13,0.392307692307692
"D36","D32",0.29,0.527586206896552
"D36","D34",0.502,0.633466135458167
"D36","D37",0.282,0.287234042553191
"D36","D42",0.926,0.722462203023758
"D37","D1",0.272,0.676470588235294
"D37","D2",0.06,0.633333333333333
"D37","D4",0.362,0.62707182320442
"D37","D5",0.136,0.676470588235294
"D37","D6",0.274,0.602189781021898
"D37","D7",1,0.938
"D37","D8",0.874,0.902745995423341
"D37","D9",0.186,0.456989247311828
"D37","D10",0.488,0.907786885245902
"D37","D11",0.59,0.305084745762712
"D37","D15",0.984,0.233739837398374
"D37","D17",0.202,0.663366336633663
"D37","D18",0.336,0.702380952380952
"D37","D19",0.656,0.923780487804878
"D37","D20",0.284,0.5
"D37","D21",0.132,0.507575757575758
"D37","D22",0.002,0.5
"D37","D23",0.364,0.527472527472527
"D37","D24",0.404,0.410891089108911
"D37","D26",0.138,0.507246376811594
"D37","D29",0.21,0.5
"D37","D30",0.418,0.748803827751196
"D37","D32",0.234,0.777777777777778
"D37","D34",0.39,0.674358974358974
"D37","D36",0.282,0.712765957446808
"D37","D42",0.258,0.810077519379845
"D42","D1",0.624,0.628205128205128
"D42","D2",0.242,0.504132231404959
"D42","D4",0.294,0.142857142857143
"D42","D5",0.59,0.661016949152542
"D42","D6",0.264,0.40530303030303
"D42","D7",0.39,0.571794871794872
"D42","D8",0.588,0.467687074829932
"D42","D9",0.422,0.502369668246445
"D42","D10",0.186,0.612903225806452
"D42","D11",0.182,0.21978021978022
"D42","D15",0.132,0.166666666666667
"D42","D17",0.16,0.46875
"D42","D18",0.71,0.577464788732394
"D42","D19",0.47,0.661702127659574
"D42","D20",0.684,0.323099415204678
"D42","D21",0.546,0.683150183150183
"D42","D22",0.268,0.171641791044776
"D42","D23",0.35,0.445714285714286
"D42","D24",0.336,0.324404761904762
"D42","D26",0.826,0.559322033898305
"D42","D29",0.654,0.671253822629969
"D42","D30",0.76,0.621052631578947
"D42","D32",0.666,0.702702702702703
"D42","D34",0.274,0.5
"D42","D36",0.926,0.277537796976242
"D42","D37",0.258,0.189922480620155
